epoch,steps,cos_sim-Accuracy@1,cos_sim-Accuracy@3,cos_sim-Accuracy@5,cos_sim-Accuracy@10,cos_sim-Precision@1,cos_sim-Recall@1,cos_sim-Precision@3,cos_sim-Recall@3,cos_sim-Precision@5,cos_sim-Recall@5,cos_sim-Precision@10,cos_sim-Recall@10,cos_sim-MRR@10,cos_sim-NDCG@10,cos_sim-MAP@100,dot_score-Accuracy@1,dot_score-Accuracy@3,dot_score-Accuracy@5,dot_score-Accuracy@10,dot_score-Precision@1,dot_score-Recall@1,dot_score-Precision@3,dot_score-Recall@3,dot_score-Precision@5,dot_score-Recall@5,dot_score-Precision@10,dot_score-Recall@10,dot_score-MRR@10,dot_score-NDCG@10,dot_score-MAP@100
0,1191,0.7461318051575931,0.877650429799427,0.9108882521489972,0.9408309455587393,0.7461318051575931,0.7239016236867241,0.30496657115568293,0.8680276981852912,0.19134670487106015,0.9040234001910219,0.09936962750716333,0.9359479465138492,0.8179220675853897,0.8440310974021207,0.8138832865411567,0.6714899713467049,0.8292263610315186,0.8759312320916905,0.9167621776504298,0.6714899713467049,0.6510983763132759,0.28643744030563517,0.817132282712512,0.18297994269340975,0.8662488061127028,0.09644699140401147,0.909539159503343,0.7591880429344599,0.79243182807953,0.7548369849207036
0,2382,0.7489971346704871,0.8832378223495702,0.914756446991404,0.9409742120343839,0.7489971346704871,0.7265042979942693,0.3067812798471824,0.8734957020057307,0.19209169054441264,0.9075573065902579,0.0993839541547278,0.936186723973257,0.8209831946149968,0.8464844228468168,0.8169526650113321,0.6787965616045846,0.8346704871060172,0.8795128939828081,0.9181948424068768,0.6787965616045846,0.6582497612225405,0.2885386819484241,0.823233046800382,0.1839541547277937,0.870546800382044,0.09663323782234957,0.9114374403056352,0.7652913085004771,0.7978220459366407,0.7614457377734561
0,-1,0.7495702005730659,0.8820916905444126,0.9159025787965616,0.9406876790830946,0.7495702005730659,0.7271967526265521,0.30687679083094554,0.8729106972301813,0.19240687679083093,0.9085482330468003,0.09935530085959886,0.9359001910219676,0.8208540273798132,0.8464390053344476,0.8170763158620354,0.6762177650429799,0.8359598853868195,0.8782234957020058,0.9167621776504298,0.6762177650429799,0.655336676217765,0.28944603629417387,0.8250477554918815,0.1839541547277937,0.8698185291308501,0.0965759312320917,0.9103868194842407,0.763220539409651,0.7960058370626535,0.759394845266769
1,1191,0.7458452722063037,0.8826647564469914,0.9150429799426935,0.9408309455587393,0.7458452722063037,0.7233763132760267,0.30659025787965616,0.8727554918815663,0.1920630372492837,0.9075453677172874,0.0993409742120344,0.9360315186246418,0.8191479055805684,0.8450360418162247,0.8151403411250002,0.6769340974212035,0.8322349570200573,0.8773638968481375,0.9160458452722063,0.6769340974212035,0.6564111747851002,0.2879178605539637,0.8210482330468004,0.18335243553008596,0.8679918815663801,0.0963323782234957,0.9090257879656161,0.762864817846908,0.7950981723073579,0.7586889870754502
1,2382,0.7494269340974212,0.8802292263610315,0.913323782234957,0.938538681948424,0.7494269340974212,0.7271489971346705,0.3056351480420248,0.8702602674307546,0.19160458452722065,0.905611270296084,0.09912607449856735,0.9339183381088825,0.8202664074225656,0.845407224128391,0.8165356127701188,0.6757879656160458,0.8345272206303725,0.8775071633237822,0.9171919770773639,0.6757879656160458,0.6552531041069722,0.2886341929321872,0.8229465138490926,0.18332378223495702,0.8680276981852914,0.09654727793696276,0.9106614135625597,0.7626587870105066,0.7953961835270825,0.7583715674432272
1,-1,0.7505730659025788,0.8810888252148997,0.9128939828080229,0.9408309455587393,0.7505730659025788,0.7280682903533906,0.30592168099331424,0.8709646609360076,0.19163323782234956,0.9057545367717287,0.0993266475644699,0.9357927411652339,0.8211289057170127,0.8463878010609751,0.8171313013899522,0.6805157593123209,0.8371060171919771,0.8795128939828081,0.9189111747851003,0.6805157593123209,0.660124164278892,0.2898758357211079,0.8262535816618911,0.18426934097421205,0.8710243553008596,0.096676217765043,0.9121298949379177,0.7669413175967612,0.7992190653805404,0.7631585345590277
2,1191,0.75,0.8812320916905444,0.9141833810888252,0.941404011461318,0.75,0.7274474689589302,0.3065425023877746,0.8720988538681949,0.19203438395415473,0.9073065902578796,0.09946991404011463,0.9368433619866283,0.8207133760858668,0.8464685747284348,0.8169660332882105,0.6799426934097421,0.8361031518624642,0.8806590257879656,0.9177650429799427,0.6799426934097421,0.6591809933142311,0.28944603629417387,0.8253104106972301,0.184297994269341,0.8718361986628461,0.09660458452722062,0.9110315186246418,0.7660743280120059,0.7981852865147014,0.7620826613473691
2,2382,0.7551575931232092,0.8829512893982808,0.9159025787965616,0.941404011461318,0.7551575931232092,0.7324021012416427,0.30692454632282706,0.8729584527220631,0.19226361031518624,0.908357211079274,0.09942693409742122,0.9365090735434575,0.8244409196343279,0.8491392817760848,0.8204887626935832,0.6836676217765043,0.8353868194842407,0.8799426934097421,0.9222063037249284,0.6836676217765043,0.6629536771728748,0.288872970391595,0.8237583572110794,0.18455587392550143,0.8718958930276981,0.09709169054441262,0.9157593123209169,0.7681431072906714,0.8008061380436647,0.7637650026967413
2,-1,0.7540114613180515,0.8836676217765043,0.9171919770773639,0.9415472779369628,0.7540114613180515,0.7315783190066857,0.3071155682903534,0.873567335243553,0.19252148997134674,0.9096943648519579,0.0993839541547278,0.9365448901623686,0.8242750261518149,0.8490685544487264,0.8204366827619763,0.6769340974212035,0.8351002865329513,0.8782234957020058,0.9183381088825215,0.6769340974212035,0.6560171919770774,0.28882521489971347,0.8233285577841452,0.1837535816618911,0.868994746895893,0.09673352435530086,0.9121298949379179,0.7637756970027734,0.7966265307153121,0.759535129591991
3,1191,0.7531518624641834,0.8832378223495702,0.913323782234957,0.9401146131805158,0.7531518624641834,0.7305635148042026,0.30692454632282706,0.8735195797516714,0.19203438395415473,0.9064469914040114,0.09926934097421203,0.9352674307545367,0.8231773889116285,0.8480517993116352,0.8196120288799438,0.6858166189111747,0.8422636103151863,0.8842406876790831,0.920487106017192,0.6858166189111747,0.664911652340019,0.29111747851002867,0.83018147086915,0.18538681948424068,0.8761222540592168,0.09689111747851004,0.91371776504298,0.7712190157820517,0.8027650582722667,0.7670956954440171
